host_id,host_response_rate,host_listings_count,host_total_listings_count,accommodates,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
50124,100,1.0,1.0,3.0,2.0,14.0,3.0,3.0,1125.0,1125.0,12,42,58,183,20.3,42.0,0.2,112,46.0,255,1.0,0.0,1.0,0.0
812814,0,1.0,1.0,2.0,30.0,365.0,30.0,30.0,365.0,365.0,0,0,0,0,15.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
67778,100,2.0,3.0,2.0,2.0,28.0,1.0,2.0,1125.0,1125.0,9,25,41,282,20.3,3.0,0.2,115,2.6,255,2.0,0.0,2.0,0.0
60923,100,2.0,2.0,2.0,60.0,90.0,60.0,60.0,90.0,90.0,0,22,52,52,32.0,0.0,0.0,52,0.0,0,1.0,1.0,0.0,0.0
826459,100,1.0,2.0,2.0,30.0,31.0,30.0,30.0,31.0,31.0,0,0,0,0,20.3,0.0,0.0,0,0.0,0,1.0,0.0,1.0,0.0
836168,100,13.0,17.0,2.6,30.0,1125.0,30.0,30.0,1125.0,1125.0,29,59,89,364,25.0,0.0,0.0,197,0.0,0,10.0,10.0,0.0,0.0
842125,78,1.0,1.0,1.0,30.0,30.0,30.0,30.0,30.0,30.0,4,34,64,113,31.0,0.0,0.0,113,0.0,0,1.0,1.0,0.0,0.0
848960,0,1.0,2.0,4.0,30.0,730.0,30.0,30.0,730.0,730.0,0,0,0,0,5.0,0.0,0.0,0,0.0,0,1.0,1.0,0.0,0.0
849492,0,1.0,1.0,2.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,0,0,0,167,130.0,2.0,0.0,0,3.0,120,1.0,1.0,0.0,0.0
21475,100,1.0,1.0,1.0,30.0,180.0,30.0,30.0,180.0,180.0,23,53,83,83,128.0,0.0,0.0,83,0.0,0,1.0,0.0,1.0,0.0
39260,100,1.0,1.0,3.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,0,20,50,325,127.0,2.0,0.0,158,2.0,120,1.0,1.0,0.0,0.0
50148,90,5.0,7.0,2.0,30.0,365.0,30.0,30.0,365.0,365.0,0,6,36,311,81.0,5.0,1.0,144,4.0,255,1.0,1.0,0.0,0.0
56246,100,1.0,2.0,2.0,30.0,1125.0,30.0,30.0,1125.0,1125.0,17,20,20,213,179.0,1.0,0.0,46,2.0,60,1.0,1.0,0.0,0.0
329436,100,2.0,2.0,2.0,30.0,270.0,30.0,30.0,270.0,270.0,0,3,9,274,20.3,3.0,0.0,107,5.0,180,2.0,2.0,0.0,0.0
330347,100,1.0,2.0,4.0,30.0,89.0,30.0,30.0,89.0,89.0,0,16,46,46,87.0,7.0,1.0,46,5.0,255,1.0,1.0,0.0,0.0
